Artist,Track,acousticness,danceability,duration_ms,energy,followers,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence
Gluecifer,Ape And Essence,7.17e-06,0.297,185920,0.967,21268,0.0019,1,0.244,-4.292,0,15,0.0678,95.817,4,0.37
David Banner,T.I. Speaks (Interlude),0.0371,0.76,130947,0.446,428946,0.0,1,0.0866,-7.665,1,10,0.539,82.013,1,0.492
Early Day Miners,Becloud,0.00159,0.506,491547,0.522,2350,0.8,11,0.113,-12.497,1,1,0.031,133.047,4,0.339
Hot Chip,Brothers,0.0206,0.583,260403,0.713,520668,0.00815,11,0.105,-7.055,1,28,0.0259,127.119,4,0.144
The Killers,Human,0.00132,0.557,245373,0.8,5270289,0.0012,10,0.0906,-8.477,1,74,0.0601,135.47,4,0.582
Myself,Brownskin Blues Pt.2,0.502,0.276,392547,0.827,205,0.0,10,0.248,-4.368,0,0,0.134,86.462,4,0.376
Sugar Minott,Informer,0.21,0.808,225613,0.671,44335,1.48e-06,8,0.138,-6.252,0,10,0.295,77.531,4,0.836
Kaskade,Borrowed Theme,0.481,0.499,224253,0.425,767240,0.000735,11,0.112,-7.544,1,23,0.0312,146.031,4,0.127
R. Kelly,I Love The DJ,0.00596,0.79,225467,0.696,2059419,0.000572,1,0.0436,-5.721,1,20,0.0304,122.019,4,0.808
Vinnie Paz,Monster's Ball,0.017,0.466,219493,0.928,181317,4.19e-05,9,0.189,-3.688,1,30,0.203,174.083,4,0.747
Dock Boggs,The Death of Jerry Damron,0.929,0.642,257320,0.188,6319,7.52e-06,7,0.0919,-11.7,1,5,0.037,107.283,4,0.591
Selena Gomez & The Scene,I Won't Apologize,0.024,0.558,186547,0.853,5188578,0.0,9,0.105,-3.827,1,40,0.037,145.897,4,0.795
William Elliott Whitmore,Johnny law,0.962,0.687,269907,0.322,44079,0.0,4,0.0818,-13.015,1,42,0.06,107.753,4,0.312
Modwheelmood,Crumble,0.0067,0.526,247787,0.661,4142,0.155,11,0.0591,-6.432,1,13,0.0331,172.031,4,0.848
Ralph Novell,Aerospace,0.000165,0.48,469811,0.981,113,0.465,4,0.736,-6.974,1,0,0.0895,139.981,4,0.0356
Joe Bonamassa,As The Crow Flies,0.163,0.637,238987,0.827,554700,0.00404,9,0.0804,-6.903,1,18,0.04,110.04,4,0.749
Krizz Kaliko,If I Ever Go,0.264,0.729,268800,0.62,56651,0.0,4,0.751,-7.624,0,15,0.322,84.006,4,0.751
Foot Village,Protective Nourishment,0.0307,0.432,329733,0.968,986,0.721,3,0.899,-7.824,1,0,0.288,146.466,4,0.0501
Pantha Du Prince,Behind The Stars,0.00553,0.685,410733,0.465,83566,0.861,8,0.133,-13.753,1,12,0.049,126.015,4,0.496
Zero 7,Swing,0.22,0.574,237600,0.579,345033,3.6e-06,5,0.0581,-7.806,1,41,0.0274,145.922,3,0.306
Gary Numan,Metal (Demo Version),0.0334,0.772,216280,0.478,241027,0.145,9,0.0776,-10.247,1,10,0.0713,127.922,4,0.671
James Zabiela,Tylium,0.0433,0.77,480133,0.571,20196,0.837,5,0.087,-8.608,0,5,0.058,127.985,4,0.477
Maylene & The Sons Of Disaster,Just A Shock,2.05e-05,0.471,192667,0.971,41837,0.0279,4,0.0786,-3.918,0,24,0.0628,145.968,4,0.728
Els Amics De Les Arts,L'home Que Va Matar Liberty Valance,0.654,0.663,291360,0.29,86149,0.000541,4,0.109,-15.188,1,20,0.0318,102.98,4,0.252
Beans On Toast,MySpace Picture,0.616,0.657,105200,0.629,35389,0.0,9,0.332,-6.117,1,11,0.354,95.697,4,0.832
Ensiferum,From Afar,4.9e-05,0.397,338747,0.993,202898,0.0282,4,0.31,-4.923,0,40,0.133,143.814,4,0.185
Flying Lotus,Drips//Auntie's Harp,0.054,0.15,130413,0.773,527193,0.272,9,0.141,-8.25,0,32,0.0774,146.692,3,0.0388
Alice Russell,Lights Went Out,0.561,0.38,215480,0.353,51833,0.0,7,0.316,-7.884,0,4,0.0534,63.936,4,0.383
Calexico,Contention City,0.916,0.346,256187,0.233,144011,0.92,11,0.0769,-19.721,0,11,0.0328,111.563,4,0.0376
Auto Auto,Hastwerk,0.00101,0.573,226613,0.9,296,0.406,1,0.373,-5.542,1,1,0.0581,140.051,4,0.47
Stille Volk,Ivresse Des Dieux,0.00964,0.199,343227,0.832,3034,0.0297,7,0.339,-5.193,1,5,0.035,140.041,4,0.553
Sebastian Brandt,Serenade,0.000263,0.627,585793,0.951,3775,0.802,11,0.141,-7.444,0,8,0.0842,129.0,4,0.218
Blu Mar Ten,Grey Area,0.0109,0.594,310844,0.94,14986,0.808,1,0.134,-6.725,1,3,0.287,172.068,4,0.201
Siriusmo,The Door,0.00291,0.747,128999,0.51,59309,0.301,2,0.132,-7.45,1,9,0.157,126.966,4,0.611
Lexy & K-Paul,Hypnotized,0.00557,0.761,250147,0.803,32771,0.869,5,0.151,-6.974,1,13,0.0378,126.985,4,0.26
SEAN TYAS,Ivy,0.00019,0.491,538286,0.976,880039,0.873,11,0.428,-7.058,1,0,0.0497,140.001,4,0.504
Peter Sommer,Hvad Sker Der I Dit Hoved?,0.662,0.236,201347,0.359,12159,0.0442,10,0.162,-9.993,1,1,0.0292,63.724,4,0.112
Lila Downs,Skeleton,0.273,0.634,181267,0.733,287574,1.68e-05,9,0.332,-6.095,0,7,0.0691,114.025,4,0.556
Ari Koivunen,Tears Keep Falling,0.00196,0.522,287947,0.874,4371,0.00124,5,0.177,-4.338,1,1,0.0466,128.031,4,0.423
VAST,I Thought By Now,0.0299,0.438,229333,0.748,44756,0.00011,7,0.114,-7.244,0,21,0.031,173.948,4,0.553
Darwin Deez,Deep Sea Divers,0.000279,0.621,218707,0.417,82877,0.0446,11,0.0713,-4.956,1,19,0.0308,121.001,4,0.764
Spoon,Trouble Comes Running,0.0978,0.478,185760,0.89,438635,0.0,0,0.123,-6.485,1,33,0.0468,141.564,4,0.707
Hallelujah the Hills,Allied Lions,0.136,0.237,367800,0.797,1858,0.00147,9,0.452,-5.029,1,1,0.0447,138.214,4,0.102
Untold,Never Went Away,0.159,0.724,288944,0.551,5239,0.879,3,0.0944,-6.519,0,1,0.0522,139.978,4,0.445
Ewan MacColl,Johnnie O'Breadisley,0.988,0.708,252973,0.11,5677,0.0,10,0.454,-8.629,1,0,0.0714,128.285,4,0.384
Race Horses,Cacen Mamgu,0.384,0.33,197880,0.797,1084,3.91e-06,6,0.23,-4.16,0,2,0.0853,81.519,4,0.544
James LaBrie,A Simple Man,0.025,0.435,320907,0.825,36892,0.0,2,0.161,-6.126,1,9,0.0323,100.057,4,0.43
Peter Broderick,Not At Home,0.937,0.109,305000,0.0706,112447,0.819,5,0.11,-23.764,1,27,0.0409,180.089,4,0.0633
Ferry Corsten,We Belong,0.000181,0.532,190973,0.858,187431,0.248,5,0.35,-7.16,0,16,0.0393,130.019,4,0.683
Bikini Machine,Get Down,0.000957,0.551,210233,0.959,1538,0.829,8,0.0688,-4.802,0,5,0.11,93.507,4,0.779
Billy Currington,Heal Me,0.0842,0.513,247080,0.659,1690654,0.0,9,0.357,-4.9,1,22,0.0263,131.954,4,0.11
PlayRadioPlay!,Nursing Home Hallways,0.302,0.317,187185,0.732,10732,4.18e-06,7,0.103,-6.777,1,2,0.0564,150.047,4,0.149
Dan Black,Symphonies,0.00127,0.71,264573,0.488,15160,0.000277,0,0.192,-4.734,1,26,0.0735,127.985,4,0.121
Warbringer,Living In A Whirlwind,3.37e-05,0.362,199680,0.997,57711,0.0336,8,0.12,-2.0,1,21,0.196,96.515,4,0.175
Nacho Marco,Sundays On The Beach,3.21e-05,0.723,385443,0.861,880039,0.831,7,0.477,-9.106,1,0,0.0693,119.995,4,0.0482
Kinky Movement,Latin Hustle,0.00109,0.832,387160,0.906,880039,0.788,6,0.0491,-4.571,0,0,0.153,123.998,4,0.856
Tim Fite,Heaven Is War,0.977,0.538,105907,0.0995,3554,5.33e-05,11,0.0918,-13.759,1,3,0.0932,76.903,4,0.259
Pearl & The Puppets,Girlfriend,0.339,0.795,173040,0.538,534,0.000213,1,0.156,-8.714,0,2,0.0351,142.0,4,0.686
Unsung Zeros,Leave Me,3.02e-05,0.39,158200,0.998,896,0.636,9,0.166,-2.003,1,0,0.177,112.488,4,0.182
Ganglians,Lost Words,0.315,0.437,260813,0.592,1573,2.03e-06,7,0.214,-6.245,1,1,0.0324,125.668,4,0.464
Treaty Of Paris,Forget Me,2.61e-05,0.429,225333,0.8,371,0.0,11,0.241,-6.77,1,0,0.0675,127.081,4,0.312
Gemelli Diversi,Tu No,0.0631,0.743,230947,0.677,144195,0.0,10,0.0919,-7.263,0,37,0.0415,94.016,4,0.902
The Mary Onettes,God Knows I Had Plans,0.0219,0.426,259253,0.792,12143,0.000994,0,0.063,-4.655,1,6,0.0333,136.028,4,0.514
Adrienne Pierce,Downside Of Love,0.0356,0.711,200933,0.604,502,2.98e-05,0,0.105,-5.813,0,0,0.0354,100.02,4,0.403
Lake Heartbeat,Golden Chain,0.0175,0.624,187720,0.942,564,0.0014,7,0.0463,-6.494,1,8,0.0285,129.025,4,0.964
In-Grid,Les Fous,0.0256,0.686,210312,0.926,13526,1.37e-06,0,0.0834,-5.446,1,8,0.0441,127.974,4,0.8
Twisted Individual,Colostomy Bag,6e-05,0.607,268626,0.906,4542,0.906,1,0.0575,-5.336,0,0,0.0731,173.977,4,0.716
Bruce Peninsula,Shanty Song,0.0229,0.442,331360,0.308,2973,1.72e-05,11,0.105,-14.806,0,12,0.0292,141.007,3,0.0595
Lisa Mitchell,Coin Laundry,0.471,0.759,189187,0.412,78836,0.0145,0,0.465,-6.503,1,31,0.0555,85.487,4,0.73
De Phazz,Uppercut,0.907,0.209,43520,0.25,65877,0.91,2,0.605,-22.697,1,7,0.046,69.581,4,0.0339
Tantric,Kick Back,0.00213,0.561,186613,0.89,118673,0.000595,1,0.116,-2.63,0,22,0.0525,144.111,4,0.553
Paul Trainer,Elusive,0.000478,0.648,377143,0.932,211,0.88,6,0.465,-6.557,1,0,0.0935,135.009,4,0.429
Mary Hopkin,One Day I'll Walk,0.53,0.452,175587,0.241,15705,0.0238,7,0.181,-13.119,1,1,0.0283,107.979,3,0.424
Foals,Big Big Love (Fig .2),0.0502,0.352,347693,0.924,1027805,0.0292,2,0.368,-5.272,1,25,0.0528,127.978,4,0.387
The Week That Was,Come Home,0.645,0.624,310453,0.356,643,0.013,5,0.082,-11.589,0,1,0.0265,83.993,4,0.225
Frittenbude,Das Licht (Dirty Disco Youth),0.00379,0.901,282373,0.377,94181,0.000583,5,0.0468,-6.147,0,1,0.481,129.976,4,0.274
Samsas Traum,Afghanistan,0.000997,0.484,287000,0.633,19385,5.65e-05,0,0.143,-6.875,1,5,0.0355,125.043,4,0.162
Tenth Avenue North,Any Other Way,0.00229,0.529,206187,0.594,412881,0.0,0,0.252,-6.054,1,25,0.0281,112.972,4,0.358
Cascada,Draw The Line,0.857,0.406,235160,0.377,340805,0.0,5,0.132,-7.557,0,21,0.033,136.028,4,0.204
Electronicat,The Delphins,0.428,0.695,93573,0.818,4105,0.854,9,0.103,-9.625,1,0,0.0548,93.829,4,0.844
Thomas Godoj,Alles was nicht existiert,0.000264,0.489,202080,0.886,7165,0.00122,5,0.228,-5.114,1,8,0.0281,92.458,4,0.67
The Saturdays,Forever Is Over,0.0263,0.529,204107,0.853,511287,1.07e-05,8,0.693,-2.961,1,38,0.0503,135.019,4,0.365
Lukestar,The Clouds Tell,0.000277,0.411,231693,0.85,1490,0.0221,2,0.144,-5.234,1,0,0.0534,128.004,4,0.119
Every Avenue,I Forgive You,0.000627,0.593,200333,0.915,118220,0.0,6,0.338,-2.712,1,36,0.0394,141.948,4,0.732
Faunts,Out on a Limb,0.00562,0.714,252280,0.628,13601,0.0807,11,0.32,-8.624,0,30,0.0434,120.005,5,0.788
The Physics of Meaning,Song for a Wishing Well (Not Everything Is Possible),0.0182,0.533,242233,0.63,71,3.29e-06,0,0.0776,-8.953,1,0,0.0407,140.03,4,0.798
Rachel Portman,Trust Has Run Out,0.958,0.0863,73920,0.0341,40037,0.916,4,0.11,-23.316,1,4,0.0425,85.291,3,0.0314
The Temptations,Season's Greetings from The Temptations,0.749,0.0,5627,0.326,880039,0.0,9,0.0,-6.792,1,0,0.0,0.0,0,0.0
Dustin Kensrue,Christmas Blues,0.608,0.617,164373,0.238,45718,2.16e-06,9,0.156,-10.789,1,10,0.0467,112.95,3,0.395
Dannii Minogue,Skin Deep,0.124,0.689,193373,0.891,64604,0.463,11,0.0599,-5.213,0,10,0.0469,130.613,4,0.891
Animal Collective,Brother Sport,0.289,0.514,359027,0.977,374348,0.0105,6,0.0707,-5.154,1,38,0.154,132.858,4,0.435
The Cute Lepers,Berlin Girls,0.0253,0.373,174960,0.916,1640,0.000175,10,0.491,-2.965,1,3,0.0481,158.176,4,0.856
Christmas Island,Egypt,0.676,0.281,131267,0.73,541,0.823,11,0.246,-7.912,1,0,0.0433,167.631,4,0.329
The New Pornographers,We End Up Together,0.254,0.501,346773,0.6,145593,0.0,9,0.171,-8.263,1,23,0.0354,178.033,4,0.472
Khia,Whistle On It,0.00019,0.847,243013,0.873,108653,0.0595,9,0.0769,-6.155,0,12,0.159,98.998,4,0.507
Sever Your Ties,Voice Like A Nova,6.1e-05,0.268,196069,0.983,1136,0.0,7,0.304,-3.74,1,4,0.187,199.969,4,0.224
Ben Tankard,Stirred Not Shaken,0.0984,0.687,224040,0.724,6512,0.56,7,0.0819,-8.281,0,22,0.0271,105.217,4,0.967
Something With Numbers,Diamonds,0.0144,0.603,221787,0.877,6887,0.0,2,0.216,-3.303,1,7,0.03,131.013,4,0.43
Leona Naess,Unnamed,0.146,0.737,231560,0.673,6661,0.00592,0,0.0981,-7.368,1,8,0.0307,138.475,4,0.713
Wild Nothing,Pessimist,0.775,0.329,107192,0.509,234007,0.975,0,0.0974,-11.437,1,34,0.0358,90.575,4,0.142
Tm Juke And The Jack Baker Trio Present?,Echoes From The Surface,0.0323,0.651,70482,0.591,1090,0.882,5,0.0201,-7.181,0,0,0.191,96.978,3,0.9
Casiotone For The Painfully Alone,STSNC,0.448,0.403,61987,0.218,15128,0.984,5,0.0685,-14.148,0,2,0.0384,105.044,1,0.982
Stephen Kellogg & The Sixers,Dying Wish Of A Teenager,0.514,0.521,272467,0.619,9830,2.12e-06,9,0.122,-8.839,1,2,0.0375,134.116,4,0.465
Cassie Davis,Necessarily,0.00207,0.666,192880,0.875,2491,7.14e-05,10,0.162,-4.206,0,4,0.141,102.895,4,0.691
Kleerup,Iris,0.00131,0.457,178467,0.729,34937,0.865,6,0.11,-5.817,0,4,0.0298,89.98,4,0.463
Neal Casal,Pray Me Home,0.749,0.459,266533,0.238,6690,0.000472,4,0.115,-12.793,1,4,0.0304,77.386,4,0.249
Jeniferever,When Our Hands Clasped,0.00229,0.616,348573,0.492,4376,0.304,1,0.117,-9.774,0,2,0.029,112.974,4,0.201
Lara Fabian,Ca Casse,0.402,0.612,233160,0.595,341002,0.0,2,0.118,-5.638,1,13,0.0259,123.908,4,0.364
Fight Like Apes,Snore Bore Whore,0.0128,0.255,320293,0.764,7067,0.0293,9,0.0812,-5.027,0,11,0.0305,98.226,4,0.159
Grave Plott,Buckin featuring Haystak,0.00869,0.856,263587,0.517,6610,0.00315,10,0.196,-5.623,1,1,0.194,80.013,4,0.209
London Pops Orchestra,Part of Your World,0.844,0.328,244453,0.189,1909,0.941,0,0.0855,-16.054,1,24,0.0307,106.104,4,0.171
Yakooza,Cocaine 2009,0.00133,0.803,404596,0.639,815,0.834,5,0.0555,-9.221,0,0,0.0787,125.996,4,0.325
Gustaf Spetz,Golden Feathers,0.0138,0.473,261640,0.862,1054,0.0119,4,0.222,-4.335,1,2,0.0533,124.925,3,0.372
1000names,Ill(U)minated man,0.00689,0.653,183091,0.835,1679,3.46e-05,11,0.327,-8.36,0,0,0.398,135.512,3,0.864
Guns N' Roses,Prostitute,0.0434,0.508,375773,0.774,16309018,0.000579,6,0.383,-9.762,0,40,0.0502,107.223,4,0.199
Jordin Sparks,Let It Rain,0.00285,0.309,225413,0.788,1419058,0.00729,11,0.188,-4.813,1,14,0.0368,176.157,4,0.175
Hudson Mohawke,Velvet Peel,0.0635,0.624,136093,0.648,97294,0.0,8,0.112,-6.557,0,12,0.0525,87.971,4,0.5
Star Fucking Hipsters,Until We're Dead,0.0116,0.812,214347,0.457,29081,0.00058,1,0.113,-8.813,1,45,0.0805,140.489,4,0.666
Torture Squad,Hellbound,0.00221,0.392,467213,0.951,15954,0.178,2,0.104,-4.134,1,10,0.0849,99.848,4,0.359
Men Without Pants,Double Life,5.07e-05,0.532,236960,0.818,135,0.00101,8,0.234,-4.934,0,0,0.0325,120.118,4,0.32
Nasum,Inhale/ Exhale,1.56e-05,0.261,95027,0.985,25714,0.874,6,0.0791,-6.685,1,31,0.062,112.75,4,0.51
Zion I,Gumbo,0.00568,0.605,76080,0.712,66928,0.895,2,0.0952,-7.197,1,9,0.0836,162.019,4,0.916
Afgin,Aden Prayers,0.148,0.48,414787,0.742,1501,0.126,6,0.151,-8.395,0,1,0.0386,95.002,4,0.406
Holy Fuck,Silva & Grimes,0.0337,0.284,313973,0.922,44225,0.957,0,0.147,-5.462,1,14,0.0815,170.021,4,0.085
DJ Sequenza,Tricky Tricky 2009,0.0185,0.675,150535,0.892,1357,0.675,10,0.374,-6.449,0,25,0.0483,139.986,4,0.666
Frozen Plasma,Almond Flower,0.517,0.678,428840,0.539,13219,0.205,8,0.108,-7.569,1,8,0.0264,115.005,4,0.217
Alexandre Desplat,The Ghost Writer (Reprise),0.217,0.658,109293,0.267,205438,0.895,8,0.0791,-20.248,1,8,0.0516,99.002,3,0.117
Christopher D Ashley,The Colour Of Truth,0.0067,0.662,233653,0.845,45,0.841,1,0.383,-10.433,1,0,0.0538,123.976,4,0.234
Waves Under Water,Thirsty,0.00774,0.493,239227,0.909,491,2.83e-05,10,0.0794,-6.407,0,2,0.0594,114.947,4,0.33
Kelly Joe Phelps,Little Family,0.949,0.376,237080,0.0339,34975,0.749,10,0.117,-25.399,1,2,0.0455,107.163,4,0.21
Lau Nau,Vuoren laelle,0.987,0.244,277533,0.116,2717,0.405,2,0.101,-18.305,0,3,0.0377,113.126,4,0.28
Luna City Express,Swing City,0.000952,0.847,409990,0.578,880039,0.79,1,0.128,-10.284,1,0,0.154,124.999,4,0.41
Sonic Syndicate,My Escape,0.000675,0.378,250880,0.873,102181,0.0,3,0.0803,-3.749,1,28,0.0355,81.999,4,0.294
Mr. Vegas,Go Up,0.0868,0.779,170227,0.859,220741,0.0,1,0.246,-5.549,0,24,0.326,191.657,4,0.728
Lonely Drifter Karen,Russian Bells,0.331,0.507,193013,0.655,3541,0.0,4,0.105,-7.853,1,1,0.0315,132.123,4,0.652
Hawthorne Heights,Desperation,0.000888,0.467,207507,0.938,287752,5.44e-06,2,0.382,-3.988,1,13,0.112,156.154,4,0.477
Frisco,Ignorant,0.0313,0.618,192040,0.593,35654,0.0,1,0.0757,-11.305,1,16,0.223,142.435,4,0.299
Bernard Allison,As Simple As That,0.0176,0.77,195867,0.637,21678,4.63e-06,6,0.0921,-6.439,0,5,0.0305,110.613,4,0.824
J Dilla,caDILLAc,0.0121,0.865,120453,0.537,371845,0.000284,3,0.335,-10.197,0,13,0.107,97.299,4,0.865
The Mother Hips,Are You Free,0.0765,0.594,207893,0.826,7032,0.00118,11,0.0756,-7.47,0,5,0.028,112.015,4,0.93
Justin Currie,Everyone I Love,0.098,0.473,246947,0.893,5922,7.57e-05,4,0.121,-3.427,0,5,0.0696,110.011,4,0.623
Pete Rock,Comprehend,0.000181,0.663,191173,0.467,195883,0.888,1,0.322,-6.241,0,12,0.226,93.95,4,0.637
Gibonni,Zedam,0.0188,0.561,301120,0.691,8358,6.75e-06,2,0.153,-6.896,0,17,0.0357,108.975,4,0.387
Living Things,Post Millennium Extinction Blues,0.000307,0.528,219667,0.96,1995,0.000213,9,0.176,-3.687,1,5,0.0804,131.725,4,0.614
Peter Kruder,Shine,0.00106,0.752,463214,0.808,8157,0.944,2,0.149,-6.402,1,4,0.0507,128.006,4,0.666
Juno Reactor,Mind Of The  Free,0.118,0.341,370520,0.4,48245,0.718,1,0.137,-11.882,1,10,0.0393,137.85,3,0.0398
Andrzej Piaseczny,Na przekor nowym czasom,0.356,0.474,249733,0.607,33284,0.0,7,0.395,-11.0,1,27,0.0474,76.984,4,0.559
Luke Bryan,Drinkin' Beer And Wastin' Bullets,0.0126,0.493,259599,0.75,5179220,1.73e-05,7,0.097,-4.748,0,55,0.0327,131.984,4,0.246
Feral Children,Spy/Glass House,0.448,0.39,272507,0.932,139,0.00253,6,0.288,-5.055,0,0,0.0946,118.888,4,0.437
Freaky Age,Weekend,6.08e-05,0.224,175880,0.728,1527,0.000367,9,0.108,-3.386,1,0,0.0418,150.549,4,0.498
Notes From Underground,Game,0.0228,0.458,154733,0.892,44,0.0,5,0.142,-7.349,0,0,0.117,170.039,4,0.318
Eleanor McEvoy,Shame On The Moon,0.796,0.68,286987,0.345,5292,0.0136,9,0.158,-10.176,1,0,0.0256,106.788,4,0.143
Levellers,The Cholera Well,0.0012,0.48,150347,0.957,48664,0.0208,2,0.31,-3.647,1,12,0.0868,135.149,4,0.767
Julian Marley,Rose Hall,0.0242,0.872,238947,0.601,171052,5.93e-06,9,0.0604,-6.874,0,23,0.0476,129.883,4,0.688
Johnny Osbourne,What A La La,0.0974,0.648,204027,0.894,4772,3.93e-05,9,0.078,-5.51,1,10,0.0602,172.81,4,0.753
Men Without Pants,Right Now,0.000102,0.277,194573,0.676,135,0.104,11,0.0679,-5.684,0,0,0.0686,186.605,4,0.231
Greg MacPherson,Travelling Style,0.546,0.576,232813,0.205,637,0.0237,7,0.11,-10.983,1,0,0.0398,106.741,3,0.121
Phonat,Love Hits The Fan,0.0013,0.66,265125,0.419,9456,0.00112,8,0.0623,-10.995,1,9,0.41,116.79,4,0.466
Rootz Underground,Farming (Album Version),0.0551,0.762,296760,0.482,8513,0.0,2,0.161,-6.729,0,28,0.195,139.406,4,0.675
Corbin Bleu,Champion,0.0841,0.638,222640,0.541,287190,0.0,5,0.0878,-7.21,1,9,0.0395,92.478,4,0.596
Heavy,Unbelievable,0.081,0.788,164088,0.616,9,0.0,2,0.57,-9.992,1,0,0.267,99.034,4,0.487
Todd Rundgren,Bardo,0.0233,0.606,376232,0.396,170845,0.0792,0,0.107,-13.32,1,3,0.0235,99.993,4,0.221
Grupo Gale,Quiero Besarte,0.278,0.623,274613,0.81,84182,0.0,9,0.233,-5.245,0,26,0.0427,180.061,4,0.569
Buju Banton Feat. Ras Shiloh,Give I Strength,0.0412,0.711,241200,0.694,18206,0.0,1,0.362,-7.228,1,13,0.0867,73.981,4,0.848
Alan Silvestri,Entering The Air & Space Museum,0.879,0.295,91520,0.177,170252,0.507,5,0.271,-15.255,1,7,0.0386,64.028,4,0.0757
Royal Bangs,Brother,8.13e-05,0.442,331333,0.938,3343,0.0686,0,0.613,-7.892,1,3,0.0939,104.877,4,0.146
Stars In Coma,People Put Up With A Lot Of Shit,0.00713,0.477,273467,0.899,417,0.264,11,0.0297,-4.157,0,0,0.0659,160.99,4,0.638
Dabrye,Air (feat. Doom),0.388,0.532,190200,0.721,15944,0.0128,10,0.484,-6.184,0,31,0.0618,94.704,4,0.468
Black Cobra,Negative Reversal,3.56e-06,0.237,175400,0.99,11895,0.715,11,0.139,-6.715,0,7,0.0921,95.76,4,0.163
Mission Of Burma,Good Cheer,2.71e-05,0.262,165733,0.971,41343,0.676,4,0.134,-6.322,1,2,0.296,164.738,4,0.228
The Reign Of Kindo,I Hear That Music Play,0.0197,0.587,348067,0.849,34362,0.0,5,0.136,-4.319,0,23,0.0349,128.014,4,0.355
Mudhoney,Tales Of Terror,2.93e-05,0.156,197240,0.961,145628,0.374,11,0.0732,-5.521,0,4,0.0825,157.747,4,0.206
The Plimsouls,Run Run Run/Who Do You Love?,0.0207,0.358,277213,0.91,12492,0.0644,9,0.969,-8.048,0,2,0.0488,97.358,4,0.52
Audiopathik,Traumatik Amnesia,9.65e-05,0.532,551253,0.966,1443,0.726,1,0.309,-10.025,1,0,0.053,152.016,4,0.404
Portishead,The Rip,0.925,0.471,270947,0.484,1126711,0.499,9,0.0987,-9.414,0,48,0.0317,74.982,4,0.236
Awesome Color,Eyes of Light,3.75e-06,0.0741,343267,0.824,732,0.571,7,0.509,-3.644,1,1,0.0548,81.385,5,0.487
